zenekar	album	cím	hossz	ev	kiado	form	mufaj	stilus	orszag	terjeszto	studio	hangmernok	bass	dob	gitar	enek	gitar2	fuvos	enek2
Kontroll Csoport	1983	Besúgók És Provokátorok	5:26	1993	Bahia Music	CD	rock	Alternative Rock	Hungary	Bahia Music	Ikarusz Művelődési Ház Stúdiója	Kistamás László	Farkas Zoltán	Lehoczky Károly	Hajnóczy Csaba	Müller Péter		Újvári János	Bárdos Deák Ágnes
Kontroll Csoport	1983	Ez A Fajta	3:56	1993	Bahia Music	CD	rock	Alternative Rock	Hungary	Bahia Music	Ikarusz Művelődési Ház Stúdiója	Kistamás László	Farkas Zoltán	Lehoczky Károly	Hajnóczy Csaba	Müller Péter		Újvári János	Bárdos Deák Ágnes
Kontroll Csoport	1983	Ez A Fajta /Coda/	1:42	1993	Bahia Music	CD	rock	Alternative Rock	Hungary	Bahia Music	Ikarusz Művelődési Ház Stúdiója	Kistamás László	Farkas Zoltán	Lehoczky Károly	Hajnóczy Csaba	Müller Péter		Újvári János	Bárdos Deák Ágnes
Kontroll Csoport	1983	Jöjj Drágám	5:11	1993	Bahia Music	CD	rock	Alternative Rock	Hungary	Bahia Music	Ikarusz Művelődési Ház Stúdiója	Kistamás László	Farkas Zoltán	Lehoczky Károly	Hajnóczy Csaba	Müller Péter		Újvári János	Bárdos Deák Ágnes
Kontroll Csoport	1983	Lili Kommandó	2:44	1993	Bahia Music	CD	rock	Alternative Rock	Hungary	Bahia Music	Ikarusz Művelődési Ház Stúdiója	Kistamás László	Farkas Zoltán	Lehoczky Károly	Hajnóczy Csaba	Müller Péter		Újvári János	Bárdos Deák Ágnes
Kontroll Csoport	1983	Azt Csinálok, Amit Akarok	3:26	1993	Bahia Music	CD	rock	Alternative Rock	Hungary	Bahia Music	Ikarusz Művelődési Ház Stúdiója	Kistamás László	Farkas Zoltán	Lehoczky Károly	Hajnóczy Csaba	Müller Péter		Újvári János	Bárdos Deák Ágnes
Kontroll Csoport	1983	Hol Vannak A Régi Álmaim	6:10	1993	Bahia Music	CD	rock	Alternative Rock	Hungary	Bahia Music	Ikarusz Művelődési Ház Stúdiója	Kistamás László	Farkas Zoltán	Lehoczky Károly	Hajnóczy Csaba	Müller Péter		Újvári János	Bárdos Deák Ágnes
Moscow Death Brigade	Hoods Up	Ghettoblaster	2:43	2016	Fire And Flames Music	CD	rock	Hardcore Hip Hop	Russia	Fire And Flames Music	Fire And Flames Music								
Moscow Death Brigade	Hoods Up	It's Us	3:13	2016	Fire And Flames Music	CD	rock	Hardcore Hip Hop	Russia	Fire And Flames Music	Fire And Flames Music								
Moscow Death Brigade	Hoods Up	Cut Off Your Tongue	3:05	2016	Fire And Flames Music	CD	rock	Hardcore Hip Hop	Russia	Fire And Flames Music	Fire And Flames Music								
Moscow Death Brigade	Hoods Up	Viking's Life	2:46	2016	Fire And Flames Music	CD	rock	Hardcore Hip Hop	Russia	Fire And Flames Music	Fire And Flames Music								
Moscow Death Brigade	Hoods Up	Prove Them Wrong	3:13	2016	Fire And Flames Music	CD	rock	Hardcore Hip Hop	Russia	Fire And Flames Music	Fire And Flames Music								
Moscow Death Brigade	Hoods Up	Your Anthem	3:02	2016	Fire And Flames Music	CD	rock	Hardcore Hip Hop	Russia	Fire And Flames Music	Fire And Flames Music								
Moscow Death Brigade	Hoods Up	The Truth	2:54	2016	Fire And Flames Music	CD	rock	Hardcore Hip Hop	Russia	Fire And Flames Music	Fire And Flames Music								
Moscow Death Brigade	Hoods Up	Heroes	3:46	2016	Fire And Flames Music	CD	rock	Hardcore Hip Hop	Russia	Fire And Flames Music	Fire And Flames Music								
